"","Scientific.name","SpcRecID","English.name","Family","Global.IUCN.Red.List.Category","Common.Name","Type.of.migration","Distribution.in.Indian.Sub.Continent","World.Distribution"
"132","Locustella lanceolata",7588,"Lanceolated Warbler","Locustellidae","LC","Lanceolated Warbler","sparse winter visitor","Andamans, NIcobars, NE Bangladesh, Uttar Pradesh, Nepal (Terai), Sri Lanka","Palearctic, S China to W Indonesia"
"133","Locustella lanceolata",7588,"Lanceolated Warbler","Locustellidae","LC","Lanceolated Warbler","sparse winter visitor","Andamans, NIcobars, NE Bangladesh, Uttar Pradesh, Nepal (Terai), Sri Lanka","Palearctic, S China to W Indonesia"
"134","Lymnocryptes minimus",3000,"Jack Snipe","Scolopacidae (Sandpipers, Snipes, Phalaropes)","LC","Jack Snipe","sparse winter visitor","plains of N Afghanistan, E Afghanistan, N Baluchistan, Indus valley, Gangetic plains to Assam valley, S Assam hills (E Meghalaya, Cachar, Manipur), NE & C Bangladesh, Peninsula, Sri Lanka, Kashmir, Nepal, S Andamans","Palearctic, C Africa, SE Asia"
"135","Marmaronetta angustirostris",467,"Marbled Teal","Anatidae (Ducks, Geese, Swans)","VU","Marbled Teal","sparse winter visitor","NW & SW Afghanistan, N Baluchistan, S Sind, Baluchistan coast to Indus valley, NW India to C Uttar Pradesh, Maharashtra, Bihar, S W Bengal, Assam valley, N & C plains","S palearctic, C Africa"
"136","Melanocorypha bimaculata",8146,"Bimaculated Lark","Alaudidae (Larks)","LC","Bimaculated Lark","sparse winter visitor","Pakistan, W India, Delhi, N Maharashtra, SE & NE Afghanistan,N Afghanistan (Hindu Kush),Gilgit, Chitral","C & Middle E Asia"
"137","Mergellus albellus",497,"Smew","Anatidae (Ducks, Geese, Swans)","LC","Smew","sparse winter visitor","NW, NE & SE Afghanistan, Indus Valley, Gangetic plains, Assam valley, Cilka Lake (Orissa)","N Palearctic, S Palearctic, SE Asia"
"138","Mergus merganser",502,"Goosander","Anatidae (Ducks, Geese, Swans)","LC","Common Merganser","widespread winter visitor & local resident","Wakhan (NE Afghanistan), Ladakh to Lahul (N Himachal), Indus Valley (Pakistan), Himalayan foothills, Assam valley, NW Himalayas","Holarctic, Tibet, S Holarctic, SE Asia"
"139","Monticola solitarius",6295,"Blue Rock-thrush","Muscicapidae (Chats and Old World flycatchers)","LC","Blue Rock-Thrush","local resident & widespread winter visitor","Afghanistan, Baluchistan, Himalayas, Nepal, Sri Lanka, S Andamans, Car Nicobar, Hill ranges of Subcontinent","Palearctic, Paleotropics"
"140","Motacilla alba",8403,"White Wagtail","Motacillidae (Wagtails and pipits)","LC","White Wagtail","local resident & widespread winter visitor","Hills of Afghanistan, Himalayas from N Pakistan to Arunachal, Indus plains, Sri Lanka, Andamans, Lakshadweep, N plains, S Assam hills","Palearctic, Alaska, SE Asia, Philippines"
"141","Motacilla cinerea",8412,"Grey Wagtail","Motacillidae (Wagtails and pipits)","LC","Grey Wagtail","local resident & widespread winter visitor","S, C & NE Afghanistan, Baluchistan, Himalayas of Chitral to Bhutan, Sri Lanka, S Andaman, Narcondam, Nicobars, Bangladesh, Lakhadweep","Palearctic, Paleotropic"
